"North" "South" "Total"
"359" 58.9 62.6 121.5
"360" 91.3 93.4 184.7
"361" 132 57 189
"362" 88.8 19.5 108.3
"363" 110.8 41.3 152.1
"364" 109.4 37 146.4
"365" 113.2 43 156.1
"366" 114.7 49.3 164
"367" 120.8 20.9 141.7
"368" 152.6 49.2 201.8
"369" 93.5 54.4 147.9
"370" 59 48.1 107.1
"371" 79.4 28.3 107.6
"372" 101.1 18.2 119.3
"373" 90 49 139
"374" 63.7 38.4 102.1
"375" 58 40.6 98.6
"376" 63.7 55.8 119.4
"377" 65.4 43.4 108.8
"378" 76.4 35.5 112
"379" 94.6 34.2 128.8
"380" 72.9 54.5 127.4
"381" 67.9 69.3 137.2
"382" 40.1 31.9 72
"383" 61.9 26.6 88.5
"384" 51.4 34.6 86
"385" 31 21.1 52.1
"386" 16.8 19.6 36.5
"387" 23.5 20.6 44
"388" 24.5 38.7 63.3
"389" 35.5 6.6 42.1
"390" 44.8 38.2 83
"391" 49.6 19.1 68.7
"392" 47.3 13.1 60.4
"393" 43.5 11.8 55.3
"394" 29.6 7.7 37.3
"395" 26.3 5.7 32
"396" 23.6 9.4 33
"397" 29.3 3.1 32.4
"398" 27.4 13 40.4
"399" 28.2 7.4 35.6
"400" 34 9.3 43.2
"401" 23.9 14.9 38.8
"402" 20.2 19.1 39.3
"403" 11.5 7.6 19.1
"404" 12.5 3.2 15.7
"405" 34.7 7.6 42.4
"406" 28.6 8.8 37.3
"407" 10.2 11.5 21.7
"408" 15.3 7.3 22.7
"409" 17.8 2.2 20
"410" 14.1 7.2 21.3
"411" 11.6 2.5 14.1
"412" 8.1 16.1 24.2
"413" 24.6 5.8 30.4
"414" 25.1 3.7 28.8
"415" 17 0.3 17.4
"416" 18.7 11.2 29.9
"417" 28.3 9.2 37.5
"418" 29.8 1.7 31.4
"419" 19.5 1.1 20.6
"420" 5.2 3.9 9.1
"421" 10.4 3.9 14.3
"422" 10.4 3.4 13.8
"423" 11.7 3.2 14.9
"424" 1.9 4.4 6.3
"425" 6.4 1.9 8.3
"426" 9.1 0.5 9.6
"427" 1.7 0 1.7
"428" 10.2 0 10.2
"429" 5.7 0 5.7
"430" 3.6 0.9 4.4
"431" 4.5 1.3 5.8
"432" 8.3 6.2 14.4
"433" 17.3 0.3 17.6
"434" 12.1 2 14.1
"435" 9.6 0.9 10.5
"436" 2.8 1.4 4.2
"437" 24.9 0.4 25.3
"438" 5.8 6.5 12.3
"439" 7.1 0 7.1
"440" 5.8 1.9 7.7
"441" 14.8 1.8 16.6
"442" 15.9 5.9 21.9
"443" 14.8 0.7 15.4
"444" 13.7 2.2 15.9
"445" 14.9 6 20.9
"446" 17.2 0 17.2
"447" 22.1 0 22.1
"448" 40.4 0.8 41.1
"449" 28.7 4.2 32.9
"450" 39.4 6.2 45.6
"451" 44 7.5 51.5
"452" 55.7 2.6 58.3
"453" 33.8 6.9 40.7
"454" 49.2 10 59.1
"455" 54 2.6 56.6
"456" 45.3 21.9 67.1
"457" 73.8 29.7 103.5
"458" 62.4 26.1 88.5
"459" 81.4 42.3 123.7
"460" 41.6 38.2 79.8
"461" 60.8 36.6 97.3
"462" 57.9 21.2 79.1
"463" 48.8 35.9 84.7
"464" 75.5 31 106.5
"465" 46.8 33.4 80.2
"466" 57.8 26.7 84.5
"467" 45.8 37 82.8
"468" 60.3 57.4 117.7
"469" 58.6 61.2 119.8
"470" 72.4 45.8 118.3
"471" 38.9 37 75.9
"472" 40.1 31.5 71.6
"473" 83.9 43.5 127.4
"474" 56.4 50.4 106.8
"475" 54.1 35.6 89.8
"476" 54.2 62.5 116.7
"477" 47.8 51 98.8
"478" 50.5 42.9 93.4
"479" 40.5 39.1 79.5
"480" 45.1 50.3 95.4
"481" 59.4 32.3 91.8
"482" 60.5 35.8 96.3
"483" 86.3 55.8 142
"484" 61.7 37.9 99.6
"485" 61.9 51 112.9
"486" 69.4 36.6 106
"487" 38.9 34.1 73
"488" 45.5 48 93.5
"489" 47 46.3 93.3
"490" 62.3 37.7 100
"491" 77.4 22.4 99.8
"492" 47.1 54.5 101.6
"493" 25 88.1 113.2
"494" 36.3 90 126.3
"495" 53.6 51.1 104.7
"496" 54 62.3 116.3
"497" 70.1 74.2 144.3
"498" 46.3 33.6 79.9
"499" 86.4 43.2 129.6
"500" 69.6 31.9 101.4
"501" 90.1 41 131.1
"502" 92.8 34.6 127.4
"503" 84.6 51.7 136.3
"504" 86.9 43.9 130.8
"505" 68.2 55.4 123.6
"506" 53.8 47.3 101.1
"507" 25.6 46.6 72.3
"508" 46.8 45.7 92.5
"509" 59.3 10.1 69.4
"510" 32.8 32.5 65.3
"511" 47.1 46.4 93.4
"512" 25.6 47.4 72.9
"513" 17.1 31.1 48.3
"514" 44.1 18.6 62.7
"515" 23.5 55.3 78.8
"516" 37.2 62.3 99.5
"517" 19.8 53.7 73.5
"518" 49.1 61.4 110.5
"519" 44.6 54.8 99.1
"520" 21.9 55.1 77
"521" 30.9 46.7 77.7
"522" 35.2 67.6 102.8
"523" 48.3 56.1 104.4
"524" 43 49.4 92.4
"525" 29.9 53.4 83.3
"526" 20.2 62.6 82.7
"527" 6 45 51
"528" 26.6 25.6 52.2
"529" 28 14.8 42.8
"530" 27.2 24.4 51.6
"531" 24.5 28.9 53.4
"532" 21.3 53.4 74.7
"533" 19 28.5 47.4
"534" 16.2 29.2 45.4
"535" 17.7 14.2 31.9
"536" 21.6 11.4 33
"537" 40.5 35.7 76.2
"538" 20.4 26.1 46.6
"539" 10 19.6 29.6
"540" 7.3 17.5 24.8
"541" 9.2 19.7 28.9
"542" 5.8 23.1 28.9
"543" 10.9 12 23
"544" 6.1 36.3 42.3
"545" 8.9 40.1 49
"546" 13 24.1 37
"547" 0 55.3 55.3
"548" 8.7 31.8 40.5
"549" 16.2 26.9 43.1
"550" 41.4 20.9 62.4
"551" 23.1 3 26
"552" 17.1 2 19.2
"553" 15.7 3 18.7
"554" 7.6 4 11.7
"555" 4.1 7 11.1
"556" 5.6 0.9 6.5
"557" 0.7 6.3 7.1
"558" 4.3 5.2 9.5
"559" 18.1 13.8 32
"560" 44.4 7.3 51.7
"561" 15.7 7.3 23
"562" 9.9 3.1 13
"563" 8.9 9.1 18
"564" 5 3.5 8.5
"565" 0.3 9.7 10
"566" 0.5 3.8 4.3
"567" 10 11.1 21
"568" 10.2 8.1 18.2
"569" 4.3 9.8 14.1
"570" 7.8 5.6 13.4
"571" 1.5 0.8 2.3
"572" 10.2 10.1 20.3
"573" 7.7 6.3 14
"574" 10.4 13.3 23.7
"575" 5.3 0 5.3
"576" 9.9 6.5 16.3
"577" 7.1 9.4 16.5
"578" 10.5 11.7 22.2
"579" 8.5 1.6 10.1
"580" 2 13.7 15.7
